--2016-05-25 01:36:19--  http://10.30.50.93:8000/
Connecting to 10.30.50.93:8000... connected.
HTTP request sent, awaiting response... 200 OK
Length: 13193358 (13M) [text/html]
Saving to: ‘index.html.2’

 10350K .......... .......... .......... .......... .......... 80%  239K 11s
 10400K .......... .......... .......... .......... .......... 81%  231K 10s
 10450K .......... .......... .......... .......... .......... 81%  232K 10s
 10500K .......... .......... .......... .......... .......... 81%  238K 10s
 10550K .......... .......... .......... .......... .......... 82%  231K 10s
 10600K .......... .......... .......... .......... .......... 82%  231K 10s
 10650K .......... .......... .......... .......... .......... 83%  231K 9s
 10700K .......... .......... .......... .......... .......... 83%  232K 9s
 10750K .......... .......... .......... .......... .......... 83%  239K 9s
 10800K .......... .......... .......... .......... .......... 84%  232K 9s
 10850K .......... .......... .......... .......... .......... 84%  237K 8s
 10900K .......... .......... .......... .......... .......... 84%  239K 8s
 10950K .......... .......... .......... .......... .......... 85%  232K 8s
 11000K .......... .......... .......... .......... .......... 85%  189K 8s
 11050K .......... .......... .......... .......... .......... 86%  308K 8s
 11100K .......... .......... .......... .......... .......... 86%  231K 7s
 11150K .......... .......... .......... .......... .......... 86%  239K 7s
 11200K .......... .......... .......... .......... .......... 87%  237K 7s
 11250K .......... .......... .......... .......... .......... 87%  231K 7s
 11300K .......... .......... .......... .......... .......... 88%  238K 7s
 11350K .......... .......... .......... .......... .......... 88%  238K 6s
 11400K .......... .......... .......... .......... .......... 88%  232K 6s
 11450K .......... .......... .......... .......... .......... 89%  237K 6s
 11500K .......... .......... .......... .......... .......... 89%  226K 6s
 11550K .......... .......... .......... .......... .......... 90%  238K 5s
 11600K .......... .......... .......... .......... .......... 90%  238K 5s
 11650K .......... .......... .......... .......... .......... 90%  232K 5s
 11700K .......... .......... .......... .......... .......... 91%  237K 5s
 11750K .......... .......... .......... .......... .......... 91%  239K 5s
 11800K .......... .......... .......... .......... .......... 91%  230K 4s
 11850K .......... .......... .......... .......... .......... 92%  239K 4s
 11900K .......... .......... .......... .......... .......... 92%  231K 4s
 11950K .......... .......... .......... .......... .......... 93%  232K 4s
 12000K .......... .......... .......... .......... .......... 93%  238K 4s
 12050K .......... .......... .......... .......... .......... 93%  225K 3s
 12100K .......... .......... .......... .......... .......... 94%  239K 3s
 12150K .......... .......... .......... .......... .......... 94%  237K 3s
 12200K .......... .......... .......... .......... .......... 95%  231K 3s
 12250K .......... .......... .......... .......... .......... 95%  238K 2s
